Model,Prediction variant,Threshold,Accuracy,Balanced Accuracy,Precision,Recall (Sensitivity),Specificity,F1-score,ROC-AUC,PR-AUC,TN,FP,FN,TP
Elastic-net Logistic Regression,CV-selected threshold,0.3499999999999999,0.7445887445887446,0.7387082204155375,0.7285714285714285,0.8292682926829268,0.6481481481481481,0.7756653992395437,0.8572719060523938,0.8874335596172838,70,38,21,102
Elastic-net Logistic Regression,Default threshold,0.5,0.7575757575757576,0.7633242999096658,0.8383838383838383,0.6747967479674797,0.8518518518518519,0.7477477477477478,0.8572719060523938,0.8874335596172838,92,16,40,83
Linear Discriminant Analysis,CV-selected threshold,0.37999999999999995,0.7056277056277056,0.6947831978319783,0.6751592356687898,0.8617886178861789,0.5277777777777778,0.7571428571428571,0.8415386931647093,0.8780943788482518,57,51,17,106
Linear Discriminant Analysis,Default threshold,0.5,0.7532467532467533,0.7620822041553749,0.875,0.6260162601626016,0.8981481481481481,0.7298578199052133,0.8415386931647093,0.8780943788482518,97,11,46,77
Soft Voting Ensemble,CV-selected threshold,0.4049999999999999,0.7142857142857143,0.7034778681120144,0.6815286624203821,0.8699186991869918,0.5370370370370371,0.7642857142857142,0.8151159289370673,0.8423530850293037,58,50,16,107
Soft Voting Ensemble,Default threshold,0.5,0.7402597402597403,0.7436766034327009,0.794392523364486,0.6910569105691057,0.7962962962962963,0.7391304347826086,0.8151159289370673,0.8423530850293037,86,22,38,85
Extra Trees,CV-selected threshold,0.32999999999999996,0.670995670995671,0.656052393857272,0.6374269005847953,0.8861788617886179,0.42592592592592593,0.7414965986394558,0.7863595302619693,0.820833219833919,46,62,14,109
Extra Trees,Default threshold,0.5,0.70995670995671,0.7169150858175248,0.7978723404255319,0.6097560975609756,0.8240740740740741,0.6912442396313364,0.7863595302619693,0.820833219833919,89,19,48,75
XGBoost,CV-selected threshold,0.3449999999999999,0.6277056277056277,0.6091915085817525,0.6010928961748634,0.8943089430894309,0.32407407407407407,0.7189542483660131,0.7812405901836795,0.8279885466184633,35,73,13,110
XGBoost,Default threshold,0.5,0.7186147186147186,0.7227868112014454,0.7788461538461539,0.6585365853658537,0.7870370370370371,0.7136563876651982,0.7812405901836795,0.8279885466184633,85,23,42,81
Quadratic Discriminant Analysis,CV-selected threshold,0.07,0.5411255411255411,0.5092592592592593,0.537117903930131,1.0,0.018518518518518517,0.6988636363636364,0.7378801565793437,0.7765168345875556,2,106,0,123
Quadratic Discriminant Analysis,Default threshold,0.5,0.6103896103896104,0.627371273712737,0.7894736842105263,0.36585365853658536,0.8888888888888888,0.5,0.7378801565793437,0.7765168345875556,96,12,78,45
Gaussian Naive Bayes,CV-selected threshold,0.065,0.5541125541125541,0.5231481481481481,0.5442477876106194,1.0,0.046296296296296294,0.7048710601719198,0.7178184281842819,0.7492457693482636,5,103,0,123
Gaussian Naive Bayes,Default threshold,0.5,0.6493506493506493,0.6441960252935863,0.6544117647058824,0.7235772357723578,0.5648148148148148,0.6872586872586872,0.7178184281842819,0.7492457693482636,61,47,34,89
